name,department,school,tags,rating,take_again,difficulty,avg_gpa
"AMIRAN, E.",Comparative Literature,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Participation matters': 2}",4.3,100,2.5,3.4393333333333334
"MARKOPOULOU, A.",Electrical Engineering,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 3, 'GRADED BY FEW THINGS': 1, 'GROUP PROJECTS': 1, 'Get ready to read': 5, 'LOTS OF HOMEWORK': 3, 'Lots of homework': 1, 'Participation matters': 1, 'TEST HEAVY': 3, 'Test heavy': 1, 'Tests are tough': 2, 'Tough grader': 3}",2.2,24,3.4,3.2835714285714284
"MUMM, D.",Materials Engineering,UC Irvine,"{'Accessible outside class': 1, 'Beware of pop quizzes': 1, 'Get ready to read': 8, 'Graded by few things': 1, 'Inspirational': 1, 'LOTS OF HOMEWORK': 5, 'Lots of homework': 7, 'Participation matters': 3, ""Skip class? You won't pass."": 2, 'So many papers': 1, 'TEST HEAVY': 3, 'Test heavy': 4, 'Tough Grader': 3, 'Tough grader': 3}",2.5,8,3.9,3.0758823529411767
"JONES, N.",Political Science,UC Irvine,{},4.0,N/,2.8,3.16
"STONE, J.",Education,UC Irvine,"{'Get ready to read': 2, 'Lots of homework': 2, 'Participation matters': 3, 'SO MANY PAPERS': 1, 'So many papers': 2}",3.5,0,2.2,3.55875
"MONTOYA, M.",Anthropology,UC Irvine,"{'Amazing lectures': 1, 'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Get ready to read': 1, ""Skip class? You won't pass."": 2, 'Tests are tough': 1, 'Tough grader': 1}",3.3,100,3.6,3.312
"DYCK, H.",Mathematics,UC Irvine,"{'Caring': 3, 'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 7, 'Inspirational': 1, 'LOTS OF HOMEWORK': 5, 'Lots of homework': 1, 'Respected': 3, 'TEST HEAVY': 2}",2.7,12,3.5,2.6899999999999995
"BRESNOCK, A.",Economics,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Graded by few things': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Participation matters': 2}",2.4,0,3.4,2.57
"SIWY, Z.",Physics,UC Irvine,"{'Accessible outside class': 2, 'Caring': 1, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 1, 'Graded by few things': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 2, 'Lots of homework': 4, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 1, 'Test heavy': 1, 'Tests are tough': 2, 'Tough grader': 1}",3.1,58,3.5,3.5293548387096774
"CHRISTOPHERSON, J.",Social Science,UC Irvine,"{'Clear grading criteria': 5, 'Get ready to read': 3, 'Hilarious': 1, 'Inspirational': 3, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'TEST HEAVY': 2, 'Test heavy': 1, 'Tough Grader': 1}",4.3,80,1.7,3.4579411764705874
"CAMPBELL, R.",Mathematics,UC Irvine,{},3.9,N/,3.1,3.495
"VENUGOPALAN, V.",Chemical Engineering,UC Irvine,{},2.5,N/,4.3,3.015
"BOROVIK, A.",Chemistry,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 1, 'Gives good feedback': 2, 'Hilarious': 8, 'Respected': 3, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 1, 'Tests are tough': 2, 'Tough Grader': 1, 'Tough grader': 1, 'Would take again': 3}",4.3,75,3.0,2.924166666666667
"KLEIN, S.",Mathematics,UC Irvine,{},3.9,N/,3.3,3.49125
"KLEIN, S.",Ethnic Studies,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 3, 'Clear grading criteria': 2, 'Get ready to read': 4, 'Hilarious': 1, 'LOTS OF HOMEWORK': 1, ""Skip class? You won't pass."": 2, 'Tests? Not many': 1, 'Would take again': 1}",3.9,100,2.9,3.49125
"BRUNSTETTER, D.",Political Science,UC Irvine,"{'Caring': 1, 'Get ready to read': 2, 'Graded by few things': 1, 'Hilarious': 1, 'Inspirational': 2, 'Participation matters': 1, ""Skip class? You won't pass."": 2, 'Tough Grader': 1, 'Tough grader': 2}",4.5,50,2.8,3.189333333333333
"PRAUSE, J.",Social Science,UC Irvine,"{'EXTRA CREDIT': 1, 'Lecture heavy': 1, ""Skip class? You won't pass."": 1, 'Tests are tough': 1, 'Tough grader': 1}",3.8,N/,2.5,2.8816666666666664
"LEVIN, K.",English,UC Irvine,"{'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 1, 'Get ready to read': 3, 'Gives good feedback': 4, 'Hilarious': 1, 'Inspirational': 2, 'LOTS OF HOMEWORK': 3, 'Lots of homework': 4, 'Participation matters': 2, 'Respected': 1, 'SO MANY PAPERS': 1, ""Skip class? You won't pass."": 6, 'So many papers': 2, 'Tough Grader': 4, 'Tough grader': 7}",3.4,40,4.1,2.885357142857143
"NENADIC, Z.",Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Get ready to read': 1, 'Hilarious': 3, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 2, 'Lots of homework': 2, 'Respected': 1, ""Skip class? You won't pass."": 4, 'Test heavy': 4, 'Tough Grader': 2, 'Tough grader': 1}",3.9,43,4.0,2.6216666666666666
"KRIVOROTOV, I.",Physics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 2, 'Get ready to read': 2, 'Graded by few things': 1, 'Respected': 3, 'TEST HEAVY': 1, 'Test heavy': 4, 'Tough Grader': 1}",4.0,78,3.1,3.25875
"MARCUS, G.",Anthropology,UC Irvine,{},3.2,N/,1.7,3.517777777777778
"PETERSON, E.",Writing,UC Irvine,{},3.4,N/,3.4,3.37
"PETERSON, E.",Economics,UC Irvine,{},1.0,N/,4.0,3.37
"CHEN, M.",Physics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 3, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 4, 'Lots of homework': 1, 'Participation matters': 3, ""Skip class? You won't pass."": 1, 'Tough Grader': 1}",3.9,29,3.5,3.392857142857143
"REGAN, A.",Civil Engineering,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 6, 'Group projects': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 1, 'Lots of homework': 2, 'TEST HEAVY': 2, 'Test heavy': 1, 'Tough Grader': 1, 'Tough grader': 1}",2.9,25,2.8,3.450434782608696
"RUIZ, V.",History,UC Irvine,"{'Get ready to read': 1, 'Gives good feedback': 1, 'Respected': 1}",3.3,N/,2.4,3.02
"SANTAGATA, R.",Education,UC Irvine,"{'EXTRA CREDIT': 2, 'Get ready to read': 2, 'Inspirational': 2}",3.8,100,1.8,3.5233333333333325
"BLUM, S.",Chemistry,UC Irvine,"{'Amazing lectures': 8, 'Amazing lectures ': 1, 'Caring': 3, 'Clear grading criteria': 3, 'EXTRA CREDIT': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'Graded by few things': 1, 'Hilarious': 1, 'Inspirational': 1, 'LECTURE HEAVY': 3, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 9, 'TEST HEAVY': 4, 'Test heavy': 3, 'Tough Grader': 4, 'Tough grader': 2}",4.0,82,3.0,3.014102564102564
"BLUM, S.",Psychology & Social Behavior,UC Irvine,"{'Accessible outside class': 2, 'Caring': 4, 'Clear grading criteria': 5, 'EXTRA CREDIT': 3, 'Get ready to read': 1, 'Graded by few things': 3, 'Hilarious': 3, 'Inspirational': 3, 'Lecture heavy': 8, 'Lots of homework': 3, 'Participation matters': 5, 'Respected': 1, ""Skip class? You won't pass."": 1, 'So many papers': 3, 'Test heavy': 3, 'Tough grader': 2}",3.7,64,2.8,3.014102564102564
"JENKINS, J.",English,UC Irvine,{},4.6,N/,2.9,3.4669230769230768
"JENKINS, J.",Education,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 2, 'GROUP PROJECTS': 1, 'Get ready to read': 1, 'Group projects': 2, 'Inspirational': 1, 'Participation matters': 3, ""Skip class? You won't pass."": 1}",4.6,100,2.7,3.4669230769230768
"BURKE, K.",Chemistry,UC Irvine,"{'Inspirational': 2, 'Lecture heavy': 2, 'Respected': 2}",2.6,100,3.4,3.2379999999999995
"DALY, A.",Writing,UC Irvine,"{'Clear grading criteria': 1, 'Group projects': 1, 'Lots of homework': 1, 'Tests? Not many': 1, 'Tough grader': 1}",2.7,100,2.6,3.4978260869565223
"VOGEL, E.",Anthropology,UC Irvine,{},4.7,N/,1.7,3.39
"SUMIKAWA, K.",Biology,UC Irvine,"{'Caring': 3, 'Clear grading criteria': 2, 'Graded by few things': 1, ""Skip class? You won't pass."": 1, 'Test heavy': 3, 'Tough grader': 1}",3.6,100,3.6,3.5625
"LOUDON, C.",Biology,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 6, 'Amazing lectures ': 2, 'Caring': 5, 'Clear grading criteria': 10, 'Get ready to read': 8, 'Hilarious': 4, 'Inspirational': 2, 'Lecture heavy': 1, 'Participation matters': 6, 'Respected': 7, 'TEST HEAVY': 1}",4.4,100,2.9,3.648039215686274
"HIPP, J.",Criminal Justice,UC Irvine,"{'Inspirational': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'TEST HEAVY': 1, 'Test heavy': 1}",2.6,0,3.8,3.1325000000000003
"HIPP, J.","Criminology, Law & Society",UC Irvine,"{'Accessible outside class': 1, 'Get ready to read': 2, 'Graded by few things': 2, 'Lecture heavy': 2, 'Test heavy': 2, 'Tough grader': 2}",3.0,0,3.5,3.1325000000000003
"BOLZENDAHL, C.",Sociology,UC Irvine,"{'Clear grading criteria': 4, 'Get ready to read': 4, 'Participation matters': 4, 'Respected': 1, ""Skip class? You won't pass."": 3, 'Test heavy': 3}",3.9,67,3.3,2.9887500000000005
"WASSERSTROM, J.",History,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Get ready to read': 3, 'Graded by few things': 1, 'Group projects': 1, 'Inspirational': 1, 'Participation matters': 3, 'Respected': 1, ""Skip class? You won't pass."": 1}",4.1,67,2.5,3.5460000000000007
"FOWLER, K.",Dramatic Arts,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Inspirational': 2, 'Respected': 2}",4.8,100,4.0,3.701428571428571
"FISHER, J.",Dance,UC Irvine,{},4.3,N/,1.8,3.709444444444444
"PATEL, A.",Art History,UC Irvine,"{'Caring': 1, 'Gives good feedback': 1, 'Graded by few things': 1, 'Lecture heavy': 1, 'Participation matters': 2, ""Skip class? You won't pass."": 3, 'Tough grader': 2}",3.3,0,3.7,3.201764705882353
"MAUNG, K.",Materials Engineering,UC Irvine,"{'Hilarious': 2, 'Lots of homework': 2, ""Skip class? You won't pass."": 2}",4.3,100,2.8,2.6533333333333338
"SUN, Z.",Business,UC Irvine,"{'Amazing lectures ': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'Gives good feedback': 1, 'Would take again': 1}",4.4,N/,2.2,3.6
"CAMPOS, B.",Psychology,UC Irvine,"{'Clear grading criteria': 1, ""Skip class? You won't pass."": 1, 'Would take again': 1}",4.8,N/,2.4,3.7318181818181815
"FULLER, M.",Chinese,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Get ready to read': 2, 'Inspirational': 2, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Participation matters': 4, 'Respected': 1}",3.3,67,3.9,3.392352941176471
"LUPTAK, A.",Chemistry,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 1, 'Test heavy': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.4,25,4.6,3.5025925925925923
"SCHUELE, D.",Criminology,UC Irvine,"{'Get ready to read': 1, 'Respected': 1, 'So many papers': 1, 'Tough grader': 1, 'Would take again': 1}",3.5,N/,4.1,3.023333333333333
"DO, A.",Biological Sciences,UC Irvine,{},4.0,100,1.0,2.5933333333333333
"DO, A.",Neurobiology & Behavior,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Graded by few things': 1, 'Tough Grader': 1, 'Tough grader': 1}",1.0,0,3.0,2.5933333333333333
"GELLERS, J.",Social Science,UC Irvine,{},5.0,N/,2.2,3.105
"CARLSON, R.",Writing,UC Irvine,{},4.5,N/,3.0,3.896666666666667
"LEE, A.",Spanish,UC Irvine,{},4.4,N/,1.9,3.397142857142857
"LEE, A.",Economics,UC Irvine,{},5.0,N/,2.0,3.397142857142857
"LEE, A.",Engineering,UC Irvine,{},2.0,N/,3.1,3.397142857142857
"LEE, A.",Engineering,UC Irvine,{},2.0,N/,3.1,3.397142857142857
"JAIN, R.",Computer Science,UC Irvine,"{'Amazing lectures': 1, 'Caring': 1, 'GRADED BY FEW THINGS': 1, 'GROUP PROJECTS': 6, 'Group projects': 4, 'LECTURE HEAVY': 2, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 2, 'Lots of homework': 3, 'Participation matters': 2, 'Respected': 1, 'SO MANY PAPERS': 1, 'Test heavy': 1, 'Tough Grader': 2, 'Tough grader': 1}",2.2,16,3.3,3.433333333333333
"HONG, T.",Japanese,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 1, 'Amazing lectures ': 1, 'Get ready to read': 2, 'Gives good feedback': 3, 'Inspirational': 3, 'Would take again': 1}",4.9,100,2.2,2.68
"HONG, T.",Mathematics,UC Irvine,"{'Amazing lectures ': 1, 'Lots of homework': 1, 'Respected': 1}",4.3,N/,2.0,2.68
"COTMAN, C.",Biological Sciences,UC Irvine,{},4.5,N/,2.0,3.5666666666666664
"WOLFGRAM, J.",Art History,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Get ready to read': 2, 'Gives good feedback': 3, 'Inspirational': 3, 'Lecture heavy': 1, 'Respected': 2, 'Tough grader': 2}",4.1,100,2.9,3.045
"COREY, M.",Dance,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'EXTRA CREDIT': 2, 'Inspirational': 2, 'Participation matters': 2, 'Respected': 1, 'Tough grader': 1}",4.0,100,3.1,3.2
"BENAMOU, C.",Film,UC Irvine,"{'Group projects': 2, ""Skip class? You won't pass."": 1}",2.6,50,3.0,3.393333333333334
"GERMO, G.",Psychology,UC Irvine,"{'Accessible outside class': 1, 'GRADED BY FEW THINGS': 1, 'GROUP PROJECTS': 1, 'Get ready to read': 5, 'Group projects': 1, 'LECTURE HEAVY': 4, 'Lecture heavy': 2, 'Lots of homework': 1, 'Participation matters': 4, ""Skip class? You won't pass."": 4, 'So many papers': 1, 'TEST HEAVY': 4, 'Test heavy': 2, 'Tough Grader': 5, 'Tough grader': 2}",2.6,15,3.8,2.7565000000000004
"WILLIAMS, A.",Social Science,UC Irvine,{},3.9,N/,2.9,3.5178571428571423
"WILLIAMS, A.",Biology,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures ': 4, 'Caring': 6, 'Clear grading criteria': 4, 'EXTRA CREDIT': 8, 'Get ready to read': 8, 'Gives good feedback': 1, 'Graded by few things': 1, 'Hilarious': 3, 'Inspirational': 1, 'Participation matters': 7, 'Respected': 1, 'Test heavy': 5, 'Tough grader': 4}",5.0,51,4.1,3.5178571428571423
"WILLIAMS, A.",Biology,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures ': 4, 'Caring': 6, 'Clear grading criteria': 4, 'EXTRA CREDIT': 8, 'Get ready to read': 8, 'Gives good feedback': 1, 'Graded by few things': 1, 'Hilarious': 3, 'Inspirational': 1, 'Participation matters': 7, 'Respected': 1, 'Test heavy': 5, 'Tough grader': 4}",5.0,51,4.1,3.5178571428571423
"MONROE, K.",Political Science,UC Irvine,"{'Gives good feedback': 2, 'Respected': 2, 'So many papers': 2}",3.8,100,2.6,3.441666666666667
"DURBIN, H.",Dramatic Arts,UC Irvine,{},5.0,N/,2.5,3.7725
"COFFMAN, C.",Anthropology,UC Irvine,"{'Caring': 2, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'SO MANY PAPERS': 1, ""Skip class? You won't pass."": 1, 'Tests? Not many': 1}",4.0,100,1.7,3.5499999999999994
"RIDGE, R.",English,UC Irvine,"{'Get ready to read': 1, 'Respected': 1, 'Would take again': 1}",4.6,N/,2.6,3.01
"MAUZY-MELITZ, D.",Biological Sciences,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'GROUP PROJECTS': 1, 'Get ready to read': 1, 'Gives good feedback': 1, 'Hilarious': 1, 'LECTURE HEAVY': 2, 'LOTS OF HOMEWORK': 4, 'Lecture heavy': 1, 'Lots of homework': 2, 'Participation matters': 5, 'SO MANY PAPERS': 6, ""Skip class? You won't pass."": 7, 'So many papers': 2, 'Tough Grader': 8, 'Tough grader': 2}",1.7,14,4.0,2.975384615384616
"DEAN, T.",Writing,UC Irvine,"{'Get ready to read': 1, 'Lecture heavy': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",2.8,N/,3.7,2.71
"ODGERS, C.",Criminal Justice,UC Irvine,{},3.7,N/,4.2,3.615
"ROSSO, D.",Civil Engineering,UC Irvine,"{'Inspirational': 2, 'Participation matters': 2, 'Respected': 2}",4.5,100,2.3,3.3866666666666663
"STEWART, R.",English,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures ': 4, 'Caring': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 2, 'Gives good feedback': 4, 'Inspirational': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'So many papers': 1, 'Tough Grader': 1}",4.9,100,3.1,2.831
"MADOU, M.",Mechanical Engineering,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Inspirational': 1, 'Respected': 2}",4.9,100,2.2,3.1963636363636367
"WEHRENFENNIG, D.",Political Science,UC Irvine,{},3.8,N/,3.4,3.942307692307692
"THORSEN, K.",Psychology,UC Irvine,"{'Amazing lectures': 1, 'GRADED BY FEW THINGS': 3, 'Get ready to read': 6, 'Hilarious': 1, 'LECTURE HEAVY': 3, 'Lecture heavy': 1, ""Skip class? You won't pass."": 4, 'TEST HEAVY': 5, 'Test heavy': 1, 'Tough Grader': 7, 'Tough grader': 1}",3.3,16,3.2,2.935
"BOBROW, J.",Mechanical Engineering,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Gives good feedback': 2, 'Group projects': 3, 'Hilarious': 2, 'Inspirational': 1}",3.5,100,3.5,3.311666666666667
"VALDEVIT, L.",Mechanical Engineering,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures ': 2, 'Clear grading criteria': 2, 'Graded by few things': 1, 'Group projects': 2, 'Inspirational': 1, 'Lecture heavy': 1, 'Participation matters': 2}",4.4,100,3.0,2.75
"LI, Y.",Mathematics,UC Irvine,{},4.8,N/,1.8,3.22
"EICHHORN, S.",Mathematics,UC Irvine,{},4.3,N/,3.3,3.31
"GORODETSKI, A.",Mathematics,UC Irvine,"{'Clear grading criteria': 3, 'GRADED BY FEW THINGS': 3, 'Get ready to read': 2, 'Graded by few things': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'TEST HEAVY': 1, 'Test heavy': 1}",2.6,0,3.5,3.0485714285714285
"SHANAHAN, T.",Education,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'Gives good feedback': 1, 'Inspirational': 1, 'Participation matters': 1}",4.7,N/,1.3,3.588125
"WARD, G.",Sociology,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 4, 'Gives good feedback': 1, 'Hilarious': 2, 'Inspirational': 1, 'Respected': 1, 'TEST HEAVY': 2, 'Test heavy': 1, 'Would take again': 1}",3.2,67,3.2,3.0608333333333326
"NEGEN, J.",Psychology,UC Irvine,{},2.5,N/,2.3,3.55
"MILLWARD, J.",History,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 3, 'Get ready to read': 2, 'Graded by few things': 1, 'LOTS OF HOMEWORK': 1, 'Participation matters': 2, 'Respected': 1, 'Tough Grader': 1, 'Tough grader': 1}",2.8,67,2.4,3.668823529411765
"HESKETH, M.",English,UC Irvine,{},4.3,N/,3.0,2.623333333333333
"FURCHE, F.",Chemistry,UC Irvine,{},3.3,100,2.8,3.205
"KAMINSKI, L.",Writing,UC Irvine,"{'Caring': 2, 'Get ready to read': 4, 'Gives good feedback': 4, 'LOTS OF HOMEWORK': 3, 'Lots of homework': 2, 'Participation matters': 1, 'Respected': 1, 'SO MANY PAPERS': 1, ""Skip class? You won't pass."": 2, 'So many papers': 1, 'Tough Grader': 1, 'Tough grader': 2}",3.6,38,4.0,2.98875
"GARCIA, B.",Writing,UC Irvine,"{'Beware of pop quizzes': 1, 'Get ready to read': 1, 'Inspirational': 1}",3.9,N/,3.6,3.2633333333333336
"SUNG, T.",English,UC Irvine,"{'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 2, 'Inspirational': 1, 'Tough Grader': 1, 'Tough grader': 1, 'Would take again': 1}",4.6,0,2.7,2.892608695652174
"OMOUMI, H.",Music,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'EXTRA CREDIT': 1, 'Gives good feedback': 1, 'Inspirational': 2, 'Participation matters': 1, 'Respected': 1}",4.7,100,1.6,3.768695652173913
"PORTER, J.",Classics,UC Irvine,"{'Get ready to read': 1, 'Lecture heavy': 1, ""Skip class? You won't pass."": 1}",3.6,N/,2.1,3.4333333333333336
"WONG, C.",Mathematics,UC Irvine,"{'Lots of homework': 2, 'So many papers': 2, 'Tough grader': 2}",1.3,N/,4.6,3.56
"TITTERUD, E.",Writing,UC Irvine,"{'Get ready to read': 1, 'Lots of homework': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",2.7,N/,3.9,2.96
"RECKER, W.",Civil Engineering,UC Irvine,{},3.8,N/,3.3,3.7
"KNIGHT, R.",Music,UC Irvine,"{'Amazing lectures ': 1, 'Lots of homework': 1, 'Participation matters': 1}",5.0,N/,2.0,3.0380000000000003
"HAYES, G.",Informatics,UC Irvine,"{'Caring': 2, 'GROUP PROJECTS': 1, 'Get ready to read': 1, 'Gives good feedback': 1, 'Participation matters': 2, 'Tough grader': 1}",3.1,100,2.4,3.83
"SEED, P.",History,UC Irvine,"{'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 4, 'Clear grading criteria': 1, 'Gives good feedback': 1, 'Group projects': 1, 'Hilarious': 2, 'Inspirational': 1, 'Participation matters': 3, 'Respected': 3}",4.0,100,1.5,3.9304166666666656
"BURKE, P.",Electrical Engineering,UC Irvine,"{'Participation matters': 1, ""Skip class? You won't pass."": 1}",2.1,N/,3.1,3.155882352941177
"BERNSTEIN, J.",Political Science,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 1, 'Hilarious': 1, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 1}",4.8,100,2.3,3.0866666666666664
"LI, X.",Mathematics,UC Irvine,{},2.3,N/,3.1,2.557777777777778
"LI, X.",Mathematics,UC Irvine,"{'Caring': 2, 'Clear grading criteria': 2, 'Gives good feedback': 2}",5.0,100,1.0,2.557777777777778
"MUELLER, L.",Ecology & Evolutionary Biology,UC Irvine,{},2.2,N/,2.7,3.728717948717949
"ZHANG, L.",Mathematics,UC Irvine,{},1.0,N/,3.1,3.8666666666666663
"ZHANG, L.",Mathematics,UC Irvine,{},3.0,N/,2.7,3.8666666666666663
"ZHANG, L.",Social Science,UC Irvine,"{'Accessible outside class': 3, 'Caring': 4, 'Clear grading criteria': 1, 'Gives good feedback': 5, 'Inspirational': 1, 'Participation matters': 3, 'Respected': 3}",5.0,100,1.8,3.8666666666666663
"COHEN-CORY, S.",Neurobiology & Behavior,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'Amazing lectures ': 2, 'Caring': 4, 'Clear grading criteria': 5, 'Gives good feedback': 1, ""Skip class? You won't pass."": 1, 'Test heavy': 1}",4.6,100,2.8,3.8123076923076926
"HALL, C.",Philosophy,UC Irvine,{},3.7,N/,3.4,3.8751111111111114
"HALL, C.",Dance,UC Irvine,"{'Caring': 2, 'Graded by few things': 2, 'Inspirational': 2, 'Participation matters': 3, ""Skip class? You won't pass."": 2}",2.4,50,2.4,3.8751111111111114
"MILES, J.",Religion,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1}",2.3,100,3.0,3.3433333333333337
"PARKINS, M.",Music,UC Irvine,{},4.8,N/,3.0,3.995
"RODRIGUEZ, J.",History,UC Irvine,{},2.5,N/,3.0,3.39
"RODRIGUEZ, J.",Writing,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'Gives good feedback': 2, 'Hilarious': 3, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Respected': 1, 'SO MANY PAPERS': 1, 'So many papers': 1, 'Tough Grader': 1, 'Tough grader': 1}",4.3,100,3.0,3.39
"CHOI, B.",Biomedical,UC Irvine,"{'Accessible outside class': 5, 'Caring': 4, 'Clear grading criteria': 1, 'EXTRA CREDIT': 3, 'Gives good feedback': 5, 'Group projects': 4, 'Respected': 1}",5.0,100,3.4,3.5857142857142863
"WANG, L.",Mathematics,UC Irvine,{},3.8,N/,2.6,2.97
"WINTHER, D.",Art History,UC Irvine,{},5.0,N/,1.0,3.2225
"POWELL, A.",Art History,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 2, 'Clear grading criteria': 2, 'LECTURE HEAVY': 1, ""Skip class? You won't pass."": 2, 'Would take again': 1}",4.5,67,2.1,3.666363636363636
"SIMS, R.",English,UC Irvine,"{'Accessible outside class': 3, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 6, 'Gives good feedback': 5, 'Graded by few things': 2, 'LOTS OF HOMEWORK': 7, 'Lots of homework': 3, 'Participation matters': 3, 'Respected': 1, 'SO MANY PAPERS': 4, ""Skip class? You won't pass."": 2, 'So many papers': 2, 'Tough Grader': 8, 'Tough grader': 2}",3.1,43,3.9,2.747090909090909
"WAN, F.",Mathematics,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 2, 'Inspirational': 2}",2.9,100,3.6,3.1766666666666663
"DUNN-RANKIN, D.",Mechanical Engineering,UC Irvine,"{'Accessible outside class': 1, 'Caring': 1, 'Group projects': 2, 'Inspirational': 1}",4.3,100,2.7,3.782105263157895
