instructor,avg_gpa
"FEINTZEIG, B.",3.3600000000000003
"SYNICKY, N.",3.135
"LEVINE, G.",3.507733333333333
"PATTERSON, D.",3.3666666666666667
"ZIV, H.",3.525106382978722
"KAY, D.",3.4832608695652176
"REGAN, A.",3.4504347826086956
"IRANI, S.",3.171052631578948
"DILLENCOURT, M.",2.976818181818182
"RATURI, A.",2.66
"BANNISTER, M.",2.72
"NICOLAU, A.",3.387692307692307
"PETROVIC, B.",3.2740789473684213
"NYENHUIS, R.",3.3866666666666667
"VALDEZ, A.",3.703098591549296
"CHAVIRA, R.",2.9878846153846155
"FLORES, R.",3.069310344827586
"SITHIAMNUAI, E.",3.1829411764705884
"HYUN, H.",3.480769230769231
"LEE, J.",3.483513513513514
"MIS, B.",3.161363636363636
"DUNCAN, E.",2.91
"HEIS, J.",3.0907317073170733
"EPPEL, T.",3.069523809523809
"JAMRO, K.",3.83
"OSKOOROUCHI, M.",3.115
"FAUREL, L.",3.12
"GAGNON, C.",2.78
"NAVARRO, P.",3.41125
"POURMOHAMMADI, H.",3.157142857142856
"MCLAUGHLIN, G.",3.4336363636363636
"SOMMER, S.",3.2372727272727273
"CHOI, J.",3.62
"LOUIE, L.",3.7
"HO, Y.",3.31
"HERNANDEZ, W.",3.3581481481481483
"FLAIZ-WINDHAM, J.",3.2583333333333333
"JIAO, T.",3.1869565217391305
"CHAO, M.",3.1816666666666666
"CHAN, H.",2.83
"MINOT, R.",3.69
"LEHMAN, R.",2.3968831168831164
"PHAM, K.",2.1233333333333335
"HUBER, K.",2.287619047619048
"HE, F.",1.91
"BOLING, J.",2.085
"FERENC, A.",2.17
"DELLACA, R.",2.458064516129032
"TAKAHASHI, Y.",1.83
"NORTHRUP, C.",1.95
"HOLBEN, R.",2.1255555555555556
"SMITH, L.",2.7324657534246577
"NORTHRUP, S.",2.265909090909091
"KARAMI, A.",2.248333333333333
"KETI, M.",2.16
"WANG, L.",2.97
"JIA, Z.",2.473333333333333
"BARANOVSKY, V.",2.8270000000000004
"LI, S.",3.0172222222222222
"ANZALDO, L.",2.6
VANDENBERG-RODES.,2.42
"DONALDSON, N.",2.5164383561643833
"CHEN, L.",2.784375
"CRANSTON, M.",2.810526315789474
"LU, Z.",2.6693939393939394
"CARRERAS, SOSPEDRA.",3.0866666666666673
"NOROOZI, Z.",2.898333333333333
"JABBARI, F.",2.7217647058823533
"RAZEGHI, G.",2.32
"POPOV, P.",2.986666666666667
"HERNANDEZ, GAITAN.",2.2466666666666666
"JARRAHBASHI, D.",3.06
"YOUSEFIANI, A.",3.1971428571428575
"FARDADI, M.",2.813076923076923
"DESSEN, M.",3.593333333333333
"SAAVEDRA, L.",2.98
"BRODBECK, D.",2.698695652173913
"TORRES, M.",3.2
"JAFARI, M.",3.8015999999999996
"SCHRINER, S.",3.6789247311827955
"KWON, Y.",3.328214285714285
"SIAKEL, D.",3.0966666666666662
"BERNECKER, S.",3.173103448275862
"BENCIVENGA, E.",3.0172000000000008
"PRIEST, M.",3.19
"MCKEON, K.",2.98
"RIN, B.",3.35
"YNIGUEZ, B.",2.72
"DENNIN, M.",3.5623076923076926
"GUERRA, A.",2.8097499999999997
"MCWILLIAMS, R.",2.9475000000000002
"HOPSTER, H.",3.011851851851852
"GOKHALE, M.",3.2666666666666666
"HOLOD, I.",2.7078571428571427
"COLLINS, P.",3.3218749999999995
"SMECKER-HANE, T.",2.8059090909090907
"FERNANDEZ DE, CASTR.",3.12
"SMITH, C.",3.5972727272727276
"VICK, J.",3.04
"SELLGREN, S.",3.3233333333333337
"GARCIA, J.",3.6025
"POWELL, S.",3.11
"AMJAD, M.",2.59
"GELLERS, J.",3.105
"CHAIPRASERT, K.",3.63
"NOVACO, R.",2.5136363636363637
"GERMO, G.",2.7565000000000004
"WOJCIK, S.",2.87
"PEDRAM, C.",3.1766666666666663
"KAHANA, M.",3.625
"BLUM, S.",3.014102564102564
"ALLGOOD, J.",3.5599999999999996
"BIC, Z.",3.4672941176470586
"SAMI, M.",3.8215151515151513
"RUNNERSTROM, M.",3.7731818181818184
"ROAYAEI, A.",3.5700000000000003
"MILLER, F.",3.2039999999999997
"SCHMIDT, T.",3.901730769230769
"SCHUSTER, T.",3.04
"BROWN, B.",3.975
"LUBENS, P.",3.29
"LEONARD, S.",3.46
"WHITELEY, J.",3.6649056603773587
"BASOLO, M.",3.5582608695652165
"LYNCH, M.",3.7531481481481483
"NATEKAL, A.",3.303333333333333
"KIM, Y.",3.2339999999999995
"VILLARREAL, B.",3.152
"TSAI, O.",3.28
"CHRISTOPHERSON, J.",3.4579411764705874
"NOVIELLO, N.",2.473333333333333
"MAURER, W.",3.2283333333333335
"GONZALES, A.",3.8449999999999998
"PEREZ, R.",3.3
"EVANS, E.",3.21
"CEDILLO, R.",3.39
"MIRIC, N.",3.159333333333333
"ROBNETT-OLSEN, B.",3.4655172413793105
"TURNEY, K.",3.249310344827587
"DINGEMAN, M.",3.87
"STEPAN-NORRIS, J.",2.9466666666666668
"HUFFMAN, M.",2.8834375000000003
"CASTILLO, E.",2.86
"PEARCE, M.",3.3600000000000003
"SMITH, D.",3.095
"JACKSON, E.",3.2
"VARGAS LARA, C.",3.42
"DELALTO, M.",2.41
"GARCIA CRUZ, K.",3.61
"REYES, I.",3.24
"BROPHY, A.",3.25
"GASKILL, L.",3.28
"FERNANDEZ, D.",3.36
"SCHWEGLER, A.",3.162571428571429
"BALDI, B.",2.6392957746478873
"DYCK, H.",2.6899999999999995
"KRAMER, J.",2.76
"MALAKLOU, M.",3.5300000000000002
"ICREVERZI, K.",2.88
"BRAUER, E.",2.987910447761194
"MOSKVINA, O.",3.2592307692307694
"LEVIN, K.",2.885357142857143
"LEAVENS, A.",2.8744444444444444
"RIDGE, R.",3.01
"KEEPERMAN, T.",3.0996296296296295
"SIMS, R.",2.747090909090909
"ALEXANDER, J.",3.313888888888889
"KIM, K.",3.3018518518518514
"WILDERSON, F.",3.8844444444444446
"SEXTON, J.",3.725625
"DAULATZAI, S.",3.1247999999999996
"HUIE, K.",3.927777777777778
"BERNAL, V.",3.3622222222222224
"VARZI, R.",3.4552941176470586
"THORNE, T.",2.7528571428571427
"PETERSON, K.",3.152
"O'ROURKE, S.",3.6120967741935486
"DROVER, C.",2.8943333333333334
"GARB, P.",3.685909090909091
"MANIAR, R.",3.661935483870968
"MAJOLI, M.",3.7139999999999995
"PERTA, L.",3.66
"PASTOR, J.",3.7296153846153848
"LAFARGE, A.",3.6312
"ROBERTS, W.",3.8912068965517235
"COOLIDGE, M.",3.6723076923076925
"JACKSON, J.",3.8929213483146072
"LEUNG, S.",3.621666666666666
"PARSONS, D.",3.8602272727272733
"MIN, Y.",3.635
"YONEMOTO, B.",3.6581818181818178
"CARSON, J.",3.632727272727273
"MILES, M.",3.140625
"PATEL, A.",3.201764705882353
"POWELL, A.",3.666363636363636
"WHITING, C.",3.2341666666666664
"BELSKI, B.",3.98
"FUJITA-RONY, D.",3.1893333333333325
"O'BRIEN, G.",3.38
"LIU, J.",2.74
"GANDHI, S.",3.176666666666667
"TIMBERLAKE, D.",2.8245454545454542
"BUSCIGLIO, J.",3.0105555555555554
"EDINGER, A.",3.827142857142857
"BARDWELL, L.",2.9704166666666665
"LONG, A.",2.7785714285714285
"AGALLIU, D.",2.39
"HAWKINS, B.",2.4325
"BRACKEN, M.",3.3091666666666675
"SAKAI, A.",3.4922222222222223
"MAUZY-MELITZ, D.",2.9753846153846157
"FORTIN, N.",3.145
"MASSIMELLI, M.",2.852641509433962
"KADANDALE, P.",3.2809000000000004
"HERMAN, L.",3.187741935483871
"SATO, B.",3.1855172413793094
"WALSH, C.",3.1766666666666663
"WODARZ, D.",3.1442857142857146
"GERSHON, P.",3.0991666666666666
"WAKIDA, N.",3.2950000000000004
"MARSH, J.",3.2099999999999995
"GROSS, S.",3.457777777777778
"GARDINER, D.",3.1020000000000003
"MORRISSETTE, N.",3.1861904761904762
"CRAMER, K.",3.214666666666667
"WELLER, S.",3.2400000000000007
"COHEN-CORY, S.",3.8123076923076926
"MOONEY, K.",3.752857142857143
"MOTA-BRAVO, L.",4.0
"HUXMAN, T.",3.899
"ABBOTT, G.",4.0
"CIVELLI, O.",3.965454545454546
"GONZALEZ, F.",3.9766666666666666
"LONGHURST, J.",4.0
"PLIKUS, M.",3.849310344827586
"WOOD, M.",3.585384615384615
"BUNNEY, W.",4.0
"FOX, J.",4.0
"GEHRICKE, J.",4.0
HOONPONGSIMANONT.,3.9928571428571433
"HAUN, J.",3.29
"BOTVINICK, E.",3.447
"LOPOUR, B.",2.9183333333333334
"TANG, W.",3.7757575757575754
"BRODY, J.",3.51375
"GROSBERG, A.",3.4487499999999995
"CHOI, B.",3.5857142857142863
"DA SILVA, N.",2.6623529411764704
