course_name,avg_gpa
AFAM 40C,3.3700000000000006
AFAM 138,3.632
ANTHRO 2A,3.1682142857142863
ANTHRO 2B,2.7714814814814814
ANTHRO 2D,3.2857142857142856
ANTHRO 41A,3.5730952380952385
ANTHRO 134A,3.5088888888888885
ANTHRO 139,3.5016949152542374
ANTHRO 161T,3.71
ANTHRO 162A,3.336666666666666
ART 20A,3.81
ART 30A,3.8203703703703704
ART 30B,3.8953333333333333
ART 40,3.785625
ART 71A,3.837826086956522
ART 100,3.776176470588236
ART 101W,3.766818181818182
ART HIS 145A,3.66
ASIANAM 50,3.2125
ASIANAM 114,3.5416666666666665
BIO SCI 1A,2.6072727272727274
BIO SCI 9A,3.596
BIO SCI 9J,3.563333333333333
BIO SCI 10,2.885
BIO SCI 35,3.074375
BIO SCI 36,3.255333333333333
BIO SCI 37,3.1592857142857143
BIO SCI 38,3.005625
BIO SCI 93,2.917826086956522
BIO SCI 94,3.0254999999999996
BIO SCI 97,2.8855102040816316
BIO SCI 98,2.881041666666667
BIO SCI 99,2.9226923076923077
BIO SCI 100,3.132
BIO SCI D103,2.974375
BIO SCI D104,3.011875
BIO SCI E106,3.261153846153846
BIO SCI E109,2.950731707317073
BIO SCI N110,2.8366666666666673
BIO SCI D111L,3.2978260869565217
BIO SCI E112L,3.4229757785467125
BIO SCI M116L,3.256803278688524
BIO SCI M118L,3.2813580246913574
BIO SCI M122,3.0197142857142856
BIO SCI D124,3.5900000000000003
BIO SCI D136,2.6566666666666667
BIO SCI E136,3.22
BIO SCI N158,3.06923076923077
BIO SCI N165,3.709999999999999
BIO SCI D170,3.16
BIO SCI E179,3.110952380952381
BIO SCI E179L,3.4678947368421054
BIO SCI 198A,4.0
BIO SCI 199,3.9924401913875602
BME 1,3.7317647058823527
BME 50A,3.0750000000000006
BME 50B,2.828
CBEMS 155,2.96375
CBEMS 175,3.27
CHEM 1A,2.621375
CHEM 1B,2.6543076923076923
CHEM 1C,2.5143396226415087
CHEM 1LC,3.049945355191257
CHEM 1LD,3.06813025210084
CHEM 1LE,2.9960000000000004
CHEM 1P,2.6325000000000003
CHEM M3LC,3.436111111111111
CHEM 5,3.2015000000000002
CHEM 51A,2.629583333333333
CHEM 51B,2.5042857142857144
CHEM 51LB,3.070889292196007
CHEM 51C,2.495609756097561
CHEM 51LC,3.1216730769230767
CHEM 51LD,3.170675675675675
CHEM 128,3.1215384615384614
CHC/LAT 61,3.1641176470588235
CHC/LAT 64,3.0857142857142854
CHC/LAT 147,4.0
CHC/LAT 151B,3.0999999999999996
CHC/LAT 153,2.9050000000000002
ENGRCEE 20,2.68125
ENGRCEE 30,2.5027999999999997
ENGRCEE 150,1.8211764705882354
CLASSIC 36C,3.4025000000000003
CLASSIC 45A,3.3184000000000005
CLASSIC 45B,3.4073684210526314
PSYCH 7A,3.101282051282052
PSYCH 9A,3.0756818181818177
PSYCH 9B,3.007560975609756
PSYCH 9C,3.02
PSYCH 46A,3.2387500000000005
PSYCH 112LM,2.9272727272727272
PSYCH 112M,2.9274999999999998
PSYCH 120D,3.40875
PSYCH 120H,2.9283333333333332
PSYCH 123P,3.4850000000000003
PSYCH 127T,3.0500000000000003
PSYCH 129,3.4985714285714287
PSYCH 140C,3.458666666666667
PSYCH 160A,3.236153846153847
PSYCH 160D,3.1884615384615387
PSYCH 177D,3.367777777777778
COM LIT 8,3.528
COMPSCI 141,2.933
COMPSCI 143A,3.0358064516129035
COMPSCI 151,2.9569230769230765
COMPSCI 152,3.1536363636363642
COMPSCI 153,3.7659999999999996
COMPSCI 161,2.9834375
CSE 31,3.2
CSE 31L,3.0941666666666667
CSE 50,2.7222222222222223
CRM/LAW C7,3.2942857142857145
CRM/LAW C106,3.256470588235294
CRM/LAW C107,3.4
CRM/LAW C108,3.1441666666666666
CRM/LAW C120,3.5989999999999993
CRM/LAW C137,2.88
CRM/LAW C142,3.129
CRM/LAW C156,3.192
CRM/LAW C160,2.696666666666667
CRM/LAW C167,3.2409999999999997
CRM/LAW C173,3.2633333333333336
CRM/LAW C176,3.2375
CRM/LAW C177,3.2159999999999997
DANCE 60A,3.9150000000000005
DANCE 81,3.2619999999999996
DANCE 185W,3.7378571428571425
UNI STU 83,3.8711111111111105
UNI STU 84,3.821111111111111
DRAMA 15,3.706470588235294
DRAMA 50E,3.892608695652174
DRAMA 130,3.7895454545454546
DRAMA 135,3.8666176470588236
DRAMA 159,3.44
EARTHSS 1,2.975333333333333
EARTHSS 3,2.907058823529412
EARTHSS 5,2.8282352941176474
EARTHSS 15,3.0959999999999988
E ASIAN 40,3.388333333333333
E ASIAN 155,3.2914285714285714
ECON 13,3.222972972972973
ECON 15A,2.9709999999999996
ECON 15B,2.969767441860465
ECON 20A,3.18909090909091
ECON 20B,3.056603773584906
ECON 25,2.769615384615385
ECON 100A,2.821521739130435
ECON 100B,2.955675675675676
ECON 100C,2.958095238095238
ECON 122A,3.29225
ECON 122B,2.9894736842105263
ECON 132A,3.1062500000000006
ECON 134A,2.91875
ECON 135,2.911538461538462
ECON 140,3.1216000000000004
ECON 149W,3.2199999999999998
ECON 157,2.88375
ECON 161A,3.0063999999999997
ECON 161C,2.55
EDUC 30,3.4779487179487183
EDUC 40,3.309210526315789
EDUC 50,3.377333333333333
EDUC 124,3.6512000000000002
EECS 10,3.11875
EECS 31,3.0875
EECS 31L,3.093928571428571
EECS 50,2.7427272727272727
EECS 55,2.6705882352941175
EECS 70A,2.611304347826087
EECS 70LA,3.629677419354839
EECS 70B,2.6425
EECS 70LB,3.543934426229508
EECS 150,2.9619999999999997
ENGR 54,2.9303703703703707
ENGR 98,3.9914285714285715
ENGR 190W,3.3718120805369125
ENGLISH 28E,3.4116666666666666
ENGLISH 102A,3.2206060606060607
ENGLISH 102C,3.3093181818181816
ENGLISH 103,3.3206249999999997
ENGLISH 105,3.526891891891892
FLM&MDA 85A,3.1465384615384617
FLM&MDA 112,3.0846666666666662
FLM&MDA 117A,3.630434782608695
FLM&MDA 120A,3.7323529411764707
FLM&MDA 130,3.383055555555556
FLM&MDA 139W,3.2227586206896555
FLM&MDA 145,3.2828571428571425
FRENCH S1AB,3.38375
FRENCH S1BC,3.19
FRENCH S2AB,3.292857142857143
FRENCH S2BC,3.576666666666666
HISTORY 15C,3.1344444444444446
HISTORY 21A,3.413125
HISTORY 21B,3.4046153846153846
HISTORY 21C,3.3713333333333333
HISTORY 40A,3.440588235294118
HISTORY 40B,3.326875
HISTORY 40C,3.3152380952380947
HISTORY 60,3.5060869565217385
HISTORY 70C,3.3442857142857143
HISTORY 114,3.276086956521739
HISTORY 150,3.9299999999999997
IN4MATX 12,3.0933333333333337
IN4MATX 43,3.4314999999999998
IN4MATX 101,2.78
IN4MATX 131,3.5595652173913037
I&C SCI 6B,3.131914893617022
I&C SCI 6D,2.9297368421052634
I&C SCI 6N,3.044166666666667
I&C SCI 10,3.4125
I&C SCI 31,3.107222222222222
I&C SCI 33,2.9314999999999998
I&C SCI 45C,3.0727777777777776
I&C SCI 46,2.7824999999999998
I&C SCI 51,3.0670967741935486
I&C SCI 139W,3.5549494949494944
INTL ST 11,3.333829787234043
INTL ST 13,2.8078787878787876
INTL ST 14,3.093428571428572
INTL ST 130,3.5240909090909085
INTL ST 155BW,2.9788888888888887
JAPANSE S1AB,3.22875
JAPANSE S1BC,3.00375
KOREAN S1AB,3.2516666666666665
KOREAN S1BC,3.3619999999999997
LINGUIS 3,3.0192
LINGUIS 68,3.408333333333333
LPS 29,3.2745161290322584
LPS 60,3.5072727272727273
MGMT 1,3.077551020408163
MGMT 5,3.171666666666667
MGMT 7,3.0090909090909084
MGMT 10,3.31
MGMT 30A,3.032307692307692
MGMT 30B,3.3168571428571427
MGMT 90,3.84
MGMT 101,3.141627906976744
MGMT 102,3.348846153846154
MGMT 105,3.556078431372549
MGMT 107,3.6958139534883716
MGMT 109,3.4146341463414633
MGMT 124,3.6025
MGMT 125,3.459090909090909
MGMT 126,3.657272727272727
MGMT 128,3.245
MGMT 129,3.7922222222222217
MGMT 131A,3.338928571428571
MGMT 131B,3.280714285714286
MGMT 132A,3.236785714285715
MGMT 136,3.308461538461539
MGMT 137,3.592222222222222
MATH 1A,2.1375
MATH 1B,2.3635
MATH 2A,2.248274111675127
MATH 2B,2.2756704980842914
MATH 2D,2.5006837606837604
MATH 2E,2.5444705882352943
MATH 3A,2.737429718875502
MATH 3D,2.6598095238095243
MATH 4,2.644871794871795
MATH 6G,2.5700000000000003
MATH 13,2.54505376344086
MATH 105A,3.089677419354839
MATH 105LA,3.47
MATH 121A,2.5847826086956527
MATH 130A,2.761929824561403
MATH 131A,2.45
MATH 131B,2.29
MATH 173A,3.035833333333333
MATH 175,3.1037500000000002
MATH 176,3.1626666666666665
MATH 180A,2.7599999999999993
ENGRMAE 10,2.9566666666666666
ENGRMAE 30,2.8000000000000003
ENGRMAE 52,3.2012500000000004
ENGRMAE 80,2.7863636363636366
ENGRMAE 91,2.488
ENGRMAE 115,2.589375
ENGRMAE 120,3.0144000000000006
ENGRMAE 130A,2.5004545454545455
ENGRMAE 130B,2.8804166666666666
ENGRMAE 150,2.84
ENGRMAE 150L,3.8202608695652174
ENGRMAE 156,3.0612500000000002
ENGRMAE 170,2.603913043478261
MUSIC 3,3.6618421052631582
MUSIC 4,3.4859999999999998
MUSIC 8,2.6573333333333338
MUSIC 78,3.315
PHRMSCI 42,3.8817647058823526
PHRMSCI 90,3.8865517241379313
PHRMSCI 120,3.1706666666666665
PHRMSCI 120L,3.659333333333333
PHRMSCI 170A,3.2990000000000004
PHRMSCI 174L,3.453076923076922
PHILOS 1,3.3133333333333335
PHILOS 4,3.131142857142857
PHILOS 5,3.126666666666667
PHILOS 10,3.191
PHILOS 12,2.8511111111111114
PHILOS 29,3.0582142857142856
PHILOS 30,3.178421052631579
PHYSICS 2,3.0463157894736845
PHYSICS 3A,2.874666666666667
PHYSICS 3B,2.9126086956521737
PHYSICS 3C,2.9060526315789477
PHYSICS 3LB,3.272678571428572
PHYSICS 3LC,3.039342465753425
PHYSICS 7C,2.8403125
PHYSICS 7D,2.7291228070175446
PHYSICS 7E,2.799111111111111
PHYSICS 7LC,3.6912435233160625
PHYSICS 7LD,3.183220338983051
PHYSICS 12,3.07
PHYSICS 18,3.0225
PHYSICS 20A,3.0570833333333334
PP&D 4,3.608333333333333
PP&D 169,3.12
POL SCI 6A,3.3633333333333333
POL SCI 21A,3.220666666666667
POL SCI 31A,3.0664
POL SCI 41A,3.2127777777777786
POL SCI 51A,3.2081481481481484
POL SCI 61A,3.2961111111111117
POL SCI 71A,3.3116666666666665
POL SCI 124C,3.6966666666666668
POL SCI 125AW,3.25
POL SCI 129,3.4813043478260868
POL SCI 141B,2.700909090909091
POL SCI 144A,3.248571428571428
POL SCI 149,3.292272727272727
POL SCI 153E,3.6750000000000007
POL SCI 171D,3.25875
POL SCI 179,3.337659574468085
PSY BEH 9,2.7493333333333334
PSY BEH 11A,2.7553333333333336
PSY BEH 11B,2.6966666666666668
PSY BEH 11C,2.8651724137931036
PSY BEH 101D,2.756470588235294
PSY BEH 102C,2.797368421052631
PSY BEH 103H,3.188571428571428
PSY BEH 104S,3.0513333333333326
PSY BEH 118D,3.3230000000000004
PSY BEH 155C,2.7536363636363634
PSY BEH 161C,2.6933333333333334
PSY BEH 170S,3.2400000000000007
PSY BEH 173S,3.5185714285714282
PSY BEH 179S,2.8428571428571425
PSY BEH 192A,2.72
PSY BEH 192G,3.2633333333333336
PUBHLTH 1,3.357450980392157
PUBHLTH 2,3.5421428571428573
PUBHLTH 7,3.24
PUBHLTH 10,3.609090909090909
PUBHLTH 90,3.258571428571429
PUBHLTH 100,3.791818181818182
PUBHLTH 101,3.1156666666666664
PUBHLTH 103,3.5
PUBHLTH 121,3.6814285714285715
PUBHLTH 122,3.3188235294117647
PUBHLTH 127,3.2933333333333334
PUBHLTH 144,3.3865217391304347
PUBHLTH 159,3.3490909090909087
