name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"SHEA, K.",Chemistry,UC Irvine,90,3.2,2.785,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,2.5,3.766681,11
"BROWN, S.",Sociology,UC Irvine,63,2.6,3.381052631578948,3,0,4,0,0,0,0,0,0,0,0,5,3,0,0,0,3.8,3.7653375,15
"PALLARES, R.",Writing,UC Irvine,67,4.0,3.361,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4.0,3.7635372,3
"HEYDARI, P.",Engineering,UC Irvine,75,3.9,3.33625,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3.9,3.7634363,10
"WEHRENFENNIG, D.",Political Science,UC Irvine,,3.4,3.942307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7629385,0
"MCLAUGHLIN, G.",Business,UC Irvine,72,2.6,3.433636363636364,0,0,8,0,0,0,0,3,3,0,6,0,0,8,0,10,3.9,3.7607975,38
"LIN, P.",Accounting,UC Irvine,72,3.3,3.075,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3.8,3.7599816,14
"TITA, G.",Criminal Justice,UC Irvine,100,3.5,3.535555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.758708,0
"NEUMARK, D.",Economics,UC Irvine,75,4.4,2.812857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,3.7584734,0
"NENADIC, Z.",Engineering,UC Irvine,43,4.0,2.6216666666666666,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,3.9,3.7573986,11
"TOPIK, S.",History,UC Irvine,0,2.8,2.8600000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7573063,0
"JESILOW, P.","Criminology, Law & Society",UC Irvine,34,2.8,2.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.755021,0
"COONEY, M.",Writing,UC Irvine,,2.3,2.7366666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.7549624,0
"TRIMBLE, V.",Physics,UC Irvine,0,2.9,3.24875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3.7525792,0
"OLSON, G.",Informatics,UC Irvine,,2.0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3.7503033,0
"ROCHA, R.",Dramatic Arts,UC Irvine,67,3.3,3.727142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.749229,0
"KIM, E.",Anthropology,UC Irvine,58,3.0,3.4371428571428573,4,0,15,3,0,0,5,6,0,0,0,0,0,0,0,0,3.6,3.748911,33
"KRIVOROTOV, I.",Physics,UC Irvine,78,3.1,3.25875,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4.0,3.7453341,7
"PATTIS, R.",Computer Science,UC Irvine,61,4.1,3.095,3,4,15,0,5,0,0,0,0,0,0,0,0,0,0,12,3.8,3.744109,39
"GRUEN, M.",History,UC Irvine,,2.0,3.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.7430487,0
"KACHKOVSKIY, I.",Mathematics,UC Irvine,100,3.1,2.548888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7408106,0
"TSUFIM, F.",Writing,UC Irvine,75,4.0,2.969,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,3.8,3.7399704,12
