name, department, school, tags, rating, take_again, difficulty
Donald Dabdub,Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 2, 'Caring': 4, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 1, 'Inspirational': 7, 'LOTS OF HOMEWORK': 1, 'Respected': 9, ""Skip class? You won't pass."": 5, 'Test heavy': 1, 'Tough Grader': 3, 'Tough grader': 3}",3.8,63,3.7
D Snow,Social Science,UC Irvine,{},3.2,N/,2.5
Douglas Tobias,Chemistry,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 1, 'Get ready to read': 3, 'Hilarious': 1, 'Inspirational': 2, 'LECTURE HEAVY': 1, 'Respected': 4, ""Skip class? You won't pass."": 2}",3.7,75,3.1
Fillmore Freeman,Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Get ready to read': 4, 'LOTS OF HOMEWORK': 1, 'Participation matters': 2, 'Tests are tough': 1, 'Tough grader': 1, 'Would take again': 2}",2.5,29,2.9
Jianjun Xu,Mathematics,UC Irvine,{},2.5,N/,2.7
Michael Franz,Computer Science,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Gives good feedback': 1, 'Graded by few things': 1, 'Group projects': 1, 'Inspirational': 4, 'Lecture heavy': 1, 'Respected': 3, 'Tough grader': 1}",3.6,84,3.8
Peter Rentzepis,Science,UC Irvine,"{'Accessible outside class': 2, 'Gives good feedback': 2, 'Respected': 2}",1.9,100,4.2
Rudi Berkelhamer,Biology,UC Irvine,{},2.9,N/,3.2
Timur Oikberg,Mathematics,UC Irvine,{},2.5,N/,3.8
Harold Koopowitz,Biology,UC Irvine,{},3.6,N/,2.9
Keith Bangs,Theater,UC Irvine,{},4.1,N/,2.2
David A. Buote,Physics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Caring': 1, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 2, 'Test heavy': 2, 'Tests are tough': 1, 'Tough grader': 2}",3,50,3.3
M.R. Rose,Science,UC Irvine,"{'Amazing lectures ': 2, 'Get ready to read': 4, 'Graded by few things': 1, 'Hilarious': 1, 'LECTURE HEAVY': 1, 'Participation matters': 3, 'Respected': 3, ""Skip class? You won't pass."": 3, 'Test heavy': 1}",3.5,100,2.6
Kenneth C. Janda,Chemistry,UC Irvine,{},2.8,N/,2.6
Bill Maurer,Anthropology,UC Irvine,"{'Beware of pop quizzes': 1, 'Get ready to read': 1, 'Inspirational': 1}",4.8,N/,1.9
Allison Benis,English,UC Irvine,{},4.9,N/,2.2
Hongkai Zhao,Mathematics,UC Irvine,{},2.3,N/,3.5
Janice Plastino,Fine Arts,UC Irvine,{},3.9,N/,1.9
David Johnson,Biology,UC Irvine,{},2.2,N/,3.9
Kristi Dalven,Humanities,UC Irvine,{},3.3,N/,3.2
Richard Symanski,Science,UC Irvine,"{'Amazing lectures': 1, 'Caring': 1, 'EXTRA CREDIT': 4, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Graded by few things': 1, 'Hilarious': 1, 'LECTURE HEAVY': 6, 'Lecture heavy': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 12, 'TEST HEAVY': 5, 'Test heavy': 1, 'Tough Grader': 3, 'Tough grader': 1}",3,25,3.2
Mohammad Safarzadeh,Economics,UC Irvine,"{'Clear grading criteria': 1, ""Skip class? You won't pass."": 1, 'Tests? Not many': 1}",2.8,100,3.7
Sharon Stern,Science,UC Irvine,"{'EXTRA CREDIT': 1, 'Gives good feedback': 1, 'Lecture heavy': 1}",4,N/,2.9
Stuart Kleinfelder,Engineering,UC Irvine,"{'Gives good feedback': 2, 'Participation matters': 2, 'Respected': 2}",2.8,100,3.4
Weian Zheng,Mathematics,UC Irvine,{},2.8,N/,2.1
Payam Heydari,Engineering,UC Irvine,"{'Get ready to read': 1, 'Hilarious': 3, 'Inspirational': 4, 'Respected': 3, 'So many papers': 2}",3.9,75,3.9
John Liu,Social Science,UC Irvine,{},3.9,N/,2.8
Richard Kroll,English,UC Irvine,{},3.7,N/,3.6
V Silver,English,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 3, 'Caring': 2, 'Gives good feedback': 3, 'Inspirational': 2, 'Lecture heavy': 1, ""Skip class? You won't pass."": 2}",3.9,75,3.5
Dana Aswad,Biology,UC Irvine,"{'Get ready to read': 1, 'Inspirational': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1, 'Would take again': 1}",2.5,N/,4.1
Tim Osborne,Science,UC Irvine,{},4,N/,3.2
James Meeker,Criminal Justice,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Inspirational': 2, 'Participation matters': 2}",4.3,100,3.2
Glen Mimura,Ethnic Studies,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 1, 'Hilarious': 4, 'Inspirational': 1, 'Participation matters': 2, 'Respected': 4, 'Tough Grader': 1, 'Tough grader': 1}",3.2,80,3.1
George Tita,Criminal Justice,UC Irvine,"{'Clear grading criteria': 2, 'Group projects': 2, 'Hilarious': 2}",3.7,100,3.5
Diego Vigil,Criminal Justice,UC Irvine,"{'Caring': 1, 'Get ready to read': 1, 'Gives good feedback': 1, 'Inspirational': 1, 'Would take again': 1}",3.4,0,2.6
Anna Gonosova,Humanities,UC Irvine,{},3.3,N/,3.5
Yunhee Min,Fine Arts,UC Irvine,{},2.1,N/,1.9
Simon Leung,Fine Arts,UC Irvine,"{'Get ready to read': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",3.1,N/,2.9
Chin C. Lee,Engineering,UC Irvine,"{'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 3, 'Graded by few things': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'TEST HEAVY': 3, 'Test heavy': 1, 'Tough Grader': 1, 'Tough grader': 1}",2.5,0,3.4
Ellen Burt,Languages,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1, 'Would take again': 1}",3.1,0,3.2
