name, department, school, tags, rating, take_again, difficulty
William Armstrong,Management,UC Irvine,{},2.8,N/,3.5
Matthew Beckmann,Political Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Amazing lectures': 5, 'Amazing lectures ': 3, 'Caring': 4, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 4, 'Gives good feedback': 1, 'Graded by few things': 1, 'Hilarious': 13, 'Inspirational': 6, 'LECTURE HEAVY': 1, 'Lecture heavy': 2, 'Participation matters': 1, 'Respected': 7, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 1, 'Test heavy': 2, 'Tough Grader': 1}",4.8,92,2.3
Joseph Kugelmass,Writing,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Gives good feedback': 2, 'Hilarious': 2}",3.5,100,4.1
Michael Dennin,Physics,UC Irvine,{},3.9,N/,2.5
Deborah Khoshaba,Psychology,UC Irvine,{},4.5,N/,1.9
Alexander McPherson,Biochemistry,UC Irvine,"{'Amazing lectures ': 1, 'Inspirational': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",2.9,N/,3.7
Sarah Leibovitz-Dambre,French,UC Irvine,{},4.2,N/,2.9
Stanley Bailey,Sociology,UC Irvine,"{'Amazing lectures': 1, 'Clear grading criteria': 2, 'Get ready to read': 2, 'Graded by few things': 1, 'Lecture heavy': 2, 'Lots of homework': 1, ""Skip class? You won't pass."": 3, 'Test heavy': 1, 'Tough grader': 1}",3.5,80,2.1
Lisa Naugle,Dance,UC Irvine,{},1.8,N/,2.8
Loretta Livingston,Dance,UC Irvine,{},4.7,N/,3.2
Ted Gaulin,Social Science,UC Irvine,"{'Caring': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1}",3.6,100,2.1
Max Winter,Writing,UC Irvine,{},5,N/,2.5
Jane Griffin,Writing,UC Irvine,{},4.4,N/,3.1
Aniketa Shinde,Physics,UC Irvine,{},4.7,N/,1.4
Cameron Talley,Criminal Justice,UC Irvine,{},3.5,N/,2.6
David Redmiles,Informatics,UC Irvine,"{'Accessible outside class': 1, 'BEWARE OF POP QUIZZES': 3, 'Beware of pop quizzes': 1, 'Clear grading criteria': 3, 'EXTRA CREDIT': 3, 'Get ready to read': 4, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Respected': 1}",3.8,100,1.5
Kimberley Lakes,Health Sciences,UC Irvine,{},4.8,N/,2
Ray Zimmerman,Writing,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 2, 'Get ready to read': 1, 'Gives good feedback': 2, 'LECTURE HEAVY': 1, 'Participation matters': 2, 'Tough Grader': 1, 'Tough grader': 1}",4.3,50,3
Judith Stepan-Norris,Sociology,UC Irvine,{},2.4,N/,3
Fatimah Tobing Rony,Film,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Gives good feedback': 2, 'Inspirational': 2}",4.2,100,2.6
Lindsay Fitzgerald,Writing,UC Irvine,"{'Clear grading criteria': 2, 'Get ready to read': 1, 'Gives good feedback': 2, 'Lots of homework': 1, 'Respected': 1, 'Tough grader': 1}",4.6,100,2.7
Carole Uhlaner,Political Science,UC Irvine,"{'Caring': 1, 'Get ready to read': 3, 'Gives good feedback': 3, 'Graded by few things': 1, 'Lecture heavy': 1, ""Skip class? You won't pass."": 3, 'Tough Grader': 1, 'Tough grader': 1}",4.4,67,2.5
Laura Zettel,Psychology,UC Irvine,{},2.9,N/,3.3
Bernard Tranel,Linguistics,UC Irvine,"{'Get ready to read': 6, 'Graded by few things': 1, 'LECTURE HEAVY': 2, 'LOTS OF HOMEWORK': 4, 'Lecture heavy': 1, 'Lots of homework': 1, 'Tough grader': 2, 'Would take again': 1}",2.5,0,3.8
Patrick Keller,Writing,UC Irvine,{},3.2,N/,3.3
Greg Feldmus,Economics,UC Irvine,{},3.9,N/,3.1
Robert Nideffer,Art,UC Irvine,{},2.4,N/,4
Peter Li,Mathematics,UC Irvine,{},3.7,N/,3.1
Carmen Serrano,Spanish,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 3, 'Accessible outside class': 1, 'Caring': 1, 'Clear grading criteria': 3, 'Get ready to read': 1, 'Gives good feedback': 3, 'Inspirational': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Participation matters': 6, 'Respected': 1, ""Skip class? You won't pass."": 1, 'Tough Grader': 1, 'Would take again': 3}",4.6,88,3.4
Bobby McDonie,Writing,UC Irvine,{},3.4,N/,2.9
Ken Cho,Biological Sciences,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 5, 'Clear grading criteria': 3, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 3, ""Skip class? You won't pass."": 1, 'Test heavy': 2}",4.5,100,3.4
Kavita Arora,Biological Sciences,UC Irvine,"{'Accessible outside class': 2, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 2, 'Clear grading criteria': 3, 'Graded by few things': 1, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 5, 'Respected': 4, ""Skip class? You won't pass."": 1, 'Test heavy': 6}",4,89,3.2
Suzanne Gearhart,French,UC Irvine,{},2.2,N/,3.6
Phebe Hosea,Mathematics,UC Irvine,{},3.8,N/,1.2
Abel Klein,Mathematics,UC Irvine,"{'Get ready to read': 2, ""Skip class? You won't pass."": 1, 'Tough Grader': 1, 'Tough grader': 1}",2.4,0,2.8
Jessica Wood,German,UC Irvine,"{'Gives good feedback': 1, 'Lots of homework': 1, 'Respected': 1}",3.9,N/,3.1
Manoj Kaplinghat,Physics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'Clear grading criteria': 1, 'Get ready to read': 3, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 3, 'Lots of homework': 1, 'Participation matters': 3, 'Respected': 1, ""Skip class? You won't pass."": 2, 'Tough grader': 1, 'Would take again': 1}",3.3,70,3.3
Robert Colson,Writing,UC Irvine,{},3.1,N/,3.3
Edward Dimendberg,Film,UC Irvine,"{'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Graded by few things': 2}",3,0,3
Miles Coolidge,Art,UC Irvine,"{'Get ready to read': 5, 'Graded by few things': 2, 'LECTURE HEAVY': 3, 'Lecture heavy': 3, 'Participation matters': 3, ""Skip class? You won't pass."": 4, 'Test heavy': 1, 'Tests are tough': 1, 'Tough Grader': 1, 'Tough grader': 1}",2,13,3.9
Thomas Schilling,Biology,UC Irvine,"{'EXTRA CREDIT': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Participation matters': 2, ""Skip class? You won't pass."": 2, 'Test heavy': 1}",2.8,20,3.8
Deborah Vargas,Ethnic Studies,UC Irvine,{},4.3,N/,1.9
Raju Metherate,Neuropsychiatry,UC Irvine,"{'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 1, 'Graded by few things': 1, 'Inspirational': 3, 'LECTURE HEAVY': 3, 'Lecture heavy': 4, 'Respected': 2, ""Skip class? You won't pass."": 4, 'Test heavy': 1}",3.8,89,4
Daniel Stokols,Social Ecology Administration,UC Irvine,"{'Amazing lectures ': 1, 'Get ready to read': 1, 'Respected': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",4.6,N/,2.6
Eric Higgins,Physics,UC Irvine,{},4.5,N/,3.5
Elizabeth Barton,Physics,UC Irvine,{},4.1,N/,2.9
Danielle Vellucci,Chemistry,UC Irvine,{},5,N/,1.4
Sam Leader,English,UC Irvine,{},4.5,N/,2.1
Ingrid Ruf,Biological Sciences,UC Irvine,{},4.1,N/,2.4
Robin Bush,Biological Sciences,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 6, 'Clear grading criteria': 4, 'EXTRA CREDIT': 1, 'Get ready to read': 15, 'Gives good feedback': 2, 'Hilarious': 2, 'Inspirational': 2, 'LECTURE HEAVY': 3, 'LOTS OF HOMEWORK': 3, 'Participation matters': 8, ""Skip class? You won't pass."": 5, 'TEST HEAVY': 4, 'Test heavy': 1, 'Tough Grader': 3, 'Tough grader': 1}",2.8,30,3.5
Diego Gomez,Spanish,UC Irvine,{},1.9,N/,4.4
Garrett Sadler,Physics,UC Irvine,{},5,N/,2.3
Chuansheng Chen,Psychology,UC Irvine,"{'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Clear grading criteria': 1, 'GROUP PROJECTS': 2, 'Get ready to read': 4, 'Graded by few things': 1, 'Group projects': 2, 'Lecture heavy': 1, 'Tough Grader': 2, 'Tough grader': 1}",3.4,0,3.1
Wei-Chung Wang,Economics,UC Irvine,{},4.8,N/,1.4
Frances Chance,Biological Sciences,UC Irvine,{},3.8,N/,2.9
Priya Shah,Women's Studies,UC Irvine,"{'Caring': 3, 'Gives good feedback': 2, 'Inspirational': 3, 'Respected': 2}",4.8,100,2.3
Susan Charles,Psychology,UC Irvine,"{'Amazing lectures ': 1, 'EXTRA CREDIT': 1, 'Get ready to read': 3, 'LECTURE HEAVY': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 1, 'Would take again': 1}",4,50,2.7
Rachel Ridnor,Sociology,UC Irvine,{},4.3,N/,3.3
Kim Ayala,Academic Services,UC Irvine,{'Clear grading criteria': 2},3.2,100,2.1
Kristin Collins,Education,UC Irvine,{},3.3,N/,3.2
Peggy Mycek,Psychology,UC Irvine,{},4.5,N/,2
Michelle Cho,Writing,UC Irvine,{},4.6,N/,2.2
Eva Lee,Biological Sciences,UC Irvine,{},2.1,0,4
Kaysa Laureano,Mathematics,UC Irvine,{},4,N/,1.4
Susan Trumbore,Earth Science,UC Irvine,"{'Accessible outside class': 2, 'Clear grading criteria': 2, 'Graded by few things': 2, ""Skip class? You won't pass."": 3}",3.1,67,2.8
Julianne Ohlander,Criminal Justice,UC Irvine,{},4.1,N/,2.3
Cynthia Feliciano,Sociology,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Get ready to read': 4, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 2, 'Lots of homework': 1, ""Skip class? You won't pass."": 3, 'Tough grader': 1}",4.2,100,2.9
Feng Wang,Sociology,UC Irvine,"{'Get ready to read': 2, 'Group projects': 2}",2.8,0,3.6
Dan Rood,History,UC Irvine,"{'Clear grading criteria': 2, 'Lecture heavy': 2, 'Respected': 2}",3.8,100,3.1
Guillermo Narvaez,Anthropology,UC Irvine,{},1.5,N/,3
Ali Yousefiani,Engineering,UC Irvine,{},4.3,N/,3.3
Anthony Kubiak,Art,UC Irvine,"{'Caring': 3, 'Inspirational': 3, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 1}",4.6,100,1.5
Hartmut Luecke,Biological Sciences,UC Irvine,"{'Respected': 1, ""Skip class? You won't pass."": 1, 'Tests? Not many': 1, 'Tough grader': 1, 'Would take again': 1}",2.7,N/,3.3
David Fitoussi,Management,UC Irvine,{},3.2,N/,2.6
Collier Nogues,Writing,UC Irvine,{},4.7,N/,2.4
Steve Gross,Biology,UC Irvine,"{'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, ""Skip class? You won't pass."": 2}",1.8,0,4.3
Stephanie Dialto,Political Science,UC Irvine,{},4.1,N/,3.3
Carl Schwarz,Political Science,UC Irvine,"{'Caring': 1, 'Gives good feedback': 1, 'Inspirational': 1, 'Respected': 1}",3.4,100,3.1
Valerie Henry,Education,UC Irvine,{},4,N/,2.6
Michael Flesock,Psychology,UC Irvine,{},3.3,N/,3.6
Sally Dickerson,Psychology,UC Irvine,{},4.7,N/,2.5
Keith Finlay,Economics,UC Irvine,{},5,N/,3
Mark Sacks,Law,UC Irvine,{},4.9,N/,2.6
Nelly Gertsberg,Psychology,UC Irvine,{},3.3,N/,2.5
Zhongping Chen,Engineering,UC Irvine,"{'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 2, 'Lots of homework': 1, ""Skip class? You won't pass."": 2, 'Test heavy': 2, 'Tough grader': 2}",3,50,3.6
Kyle Wanberg,Writing,UC Irvine,{},3.4,N/,3.1
Diane Chang,Political Science,UC Irvine,"{'Gives good feedback': 1, 'Lots of homework': 1, 'Respected': 1}",2.3,N/,3.4
Susan Jarratt,Comparative Literature,UC Irvine,{},3,N/,2.8
Marina Berns Kahana,Psychology,UC Irvine,{},2.3,N/,4
Sunita Lutz,English,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 3, 'Get ready to read': 3, 'Gives good feedback': 4, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Participation matters': 1, 'SO MANY PAPERS': 1, 'TEST HEAVY': 1, 'Tough Grader': 3, 'Tough grader': 1}",3,75,4
Vernon Ng,Writing,UC Irvine,"{'Accessible outside class': 2, 'Caring': 2, 'Gives good feedback': 2}",4.2,100,2.5
Zouhair Tamsamani,Mathematics,UC Irvine,{},2.5,N/,3
Donald Patterson,Computer Science,UC Irvine,{},4.9,N/,2.8
Paul Eklof,Mathematics,UC Irvine,{},2.3,N/,4.3
Amina Yassine,Spanish,UC Irvine,"{'So many papers': 2, 'Test heavy': 2, 'Tough grader': 2}",4.3,N/,2.9
Volodymyr Bilotkach,Economics,UC Irvine,"{'Group projects': 2, 'Lecture heavy': 2}",4.1,100,2
Christine Suetterlin,Biological Sciences,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 3, 'Amazing lectures': 1, 'Caring': 4, 'Clear grading criteria': 3, 'Gives good feedback': 3, 'Lecture heavy': 2, 'Lots of homework': 1, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 3, 'Test heavy': 2}",4.4,88,3
Jean Saphores,Environmental Science,UC Irvine,{},3.1,N/,2.7
Aaron Barth,Physics,UC Irvine,"{'Amazing lectures': 3, 'Amazing lectures ': 1, 'Clear grading criteria': 4, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 3, 'Inspirational': 3, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 3, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 6, ""Skip class? You won't pass."": 4, 'TEST HEAVY': 4, 'Tough Grader': 3}",3.9,65,3
Michel Gervais,Dance,UC Irvine,"{'Caring': 2, 'Hilarious': 2, 'Respected': 2}",4,100,3.3
Stephen Barker,Theater,UC Irvine,"{'EXTRA CREDIT': 2, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Graded by few things': 1, 'Lecture heavy': 1}",4.2,0,1.9
Kenneth Shea,Chemistry,UC Irvine,"{'BEWARE OF POP QUIZZES': 4, 'Beware of pop quizzes': 1, 'Caring': 3, 'Clear grading criteria': 4, 'Get ready to read': 4, 'LECTURE HEAVY': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1, 'Would take again': 1}",2.5,90,3.2
Mark Leach,Social Science,UC Irvine,{},2.2,N/,3
Edward Fowler,Asian Studies,UC Irvine,{},4.7,N/,1.7
Tibor Juhasz,Biomedical,UC Irvine,"{'Amazing lectures ': 2, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 4, 'Graded by few things': 2, 'Group projects': 2, 'TEST HEAVY': 2, 'Test heavy': 1}",2.5,40,2.8
Mary Ellen Wynn,Writing,UC Irvine,"{'Gives good feedback': 1, 'Lots of homework': 1, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",3.6,N/,3
Bruce Nicholson,Writing,UC Irvine,{},5,N/,1.3
Jung-A Lee,Music,UC Irvine,{},4.3,N/,1.7
Sam Arkin,Writing,UC Irvine,{},3.8,N/,1.9
Martin Huang,Asian Studies,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 4, 'Caring': 3, 'Get ready to read': 5, 'Gives good feedback': 1, 'Graded by few things': 1, 'Hilarious': 2, 'Inspirational': 1, 'Lecture heavy': 1, ""Skip class? You won't pass."": 2}",4.3,86,1.9
Michelle Yates,Writing,UC Irvine,{},4.8,N/,3
Lara Deeb,Women's Studies,UC Irvine,{},3.4,N/,3.4
Ted Wrigley,Social Science,UC Irvine,{},1.7,N/,3.1
Sandra Zito,History,UC Irvine,{},3.8,N/,2.3
Chuu-Lian Terng,Mathematics,UC Irvine,{},3.1,N/,3.1
Don Hill,Theater,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Caring': 3, 'Hilarious': 2, 'Inspirational': 3, 'Would take again': 1}",5,100,2.1
Joseph Dimento,Environmental Studies,UC Irvine,{},3.9,N/,2.5
Graham Mueller,Mathematics,UC Irvine,{},3.2,N/,2.8
Elizabeth Brown,Chemistry,UC Irvine,"{'Lots of homework': 1, 'Tests? Not many': 1}",3.5,N/,2.5
Janice Gregory,Humanities,UC Irvine,{},5,N/,2.6
Jan Brueckner,Economics,UC Irvine,"{'Beware of pop quizzes': 1, 'Get ready to read': 1, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lots of homework': 2, 'Respected': 1, ""Skip class? You won't pass."": 2, 'Tough grader': 1}",3.5,100,3.6
Felix Grun,Biological Sciences,UC Irvine,{},4.1,N/,3.3
Carolyn Boyd,History,UC Irvine,{},4.1,N/,2.8
James Randerson,Earth Science,UC Irvine,"{'Accessible outside class': 1, 'Caring': 2, 'Get ready to read': 3, 'Graded by few things': 4, 'Hilarious': 2, 'Test heavy': 3}",4,100,3.1
Erin Hourigan,German,UC Irvine,{},4.8,N/,2.3
Christopher Martin Ograin,Mathematics,UC Irvine,{},4.9,N/,2.1
Russ Dalton,Political Science,UC Irvine,{},4.3,N/,3.4
Rodney McMillian,Art,UC Irvine,{},3.6,N/,3.6
Justin Walensky,Chemistry,UC Irvine,{},4.8,N/,1.8
Joy Parker,Writing,UC Irvine,{},3,N/,3.6
Emily Zarybnisky,Education,UC Irvine,{},4.6,N/,1.3
Susan Turner,Criminal Justice,UC Irvine,"{'Beware of pop quizzes': 1, 'Clear grading criteria': 5, 'Get ready to read': 2, 'Gives good feedback': 1, 'Graded by few things': 9, 'LECTURE HEAVY': 2, 'Lecture heavy': 8, 'Participation matters': 1, 'Respected': 1, 'TEST HEAVY': 1, 'Test heavy': 8, 'Tough grader': 7}",3.8,56,3.9
Myron Avila,Spanish,UC Irvine,{},3.1,0,1.7
Jenny Liou,Writing,UC Irvine,{},3.3,N/,2.8
Laura Sextro,History,UC Irvine,{},3.7,N/,3.8
Eric Blankenship,German,UC Irvine,{},2,N/,4
Beatriz Da Costa,Engineering,UC Irvine,{},1.2,N/,3
Amalia Herrmann,Humanities,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 1, 'Amazing lectures': 1, 'Caring': 6, 'Clear grading criteria': 2, 'Get ready to read': 1, 'Gives good feedback': 7, 'Graded by few things': 1, 'Group projects': 1, 'Lots of homework': 1, 'Online Savvy': 2, 'Participation matters': 4, 'Respected': 2, 'Tough Grader': 2, 'Tough grader': 6}",4,75,3
Adam Kaiserman,Writing,UC Irvine,{},4.3,N/,2.9
Shengli Kong,Mathematics,UC Irvine,{},4,N/,1.4
Karl Rubin,Mathematics,UC Irvine,{},4.6,N/,3.5
Kuo-lin Hsu,Civil Engineering,UC Irvine,"{'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'Lots of homework': 1, 'TEST HEAVY': 1, 'Test heavy': 1}",3.4,0,2.5
Catherine Liu,Film,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 3, 'Get ready to read': 2, 'Participation matters': 2, 'Respected': 1, ""Skip class? You won't pass."": 2}",3.8,100,2.4
Jessica Pratt,Biological Sciences,UC Irvine,"{'Clear grading criteria': 1, 'EXTRA CREDIT': 2, 'GROUP PROJECTS': 1, 'Get ready to read': 2, 'Group projects': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 2, 'TEST HEAVY': 1, 'Tough Grader': 1, 'Tough grader': 3}",4,25,2.4
Judy Hollingshead,Psychology,UC Irvine,{},3.5,N/,2.6
Jo Ellen Brunner,Biological Sciences,UC Irvine,"{'Amazing lectures ': 1, 'Clear grading criteria': 1, 'Gives good feedback': 1, 'Tough grader': 1, 'Would take again': 1}",4.1,N/,3
Walt Baxter,Engineering,UC Irvine,{},3,N/,4.7
Michelle Neely,Writing,UC Irvine,{},4.6,N/,2.3
Wesley Johnson,Statistics,UC Irvine,{},2.8,N/,4.6
Lindsay Puente,Comparative Literature,UC Irvine,{},2.8,N/,4.3
Leron Harrison,Japanese,UC Irvine,"{'Hilarious': 2, 'Tough Grader': 1, 'Tough grader': 1}",2.2,100,4.2
Jae Shil Kim,Linguistics,UC Irvine,{},3.1,N/,3.1
Farghalli Mohamed,Materials Engineering,UC Irvine,{},4.7,N/,2.3
Shuya Yin,Management,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Accessible outside class': 4, 'Amazing lectures': 1, 'Amazing lectures ': 3, 'Caring': 3, 'Clear grading criteria': 3, 'Graded by few things': 1, 'Inspirational': 3, 'Participation matters': 1}",3.8,100,2.9
Matthew Harrison,Writing,UC Irvine,{},4.3,N/,2.6
Erin Huang,Writing,UC Irvine,{},3.3,N/,3.2
Timothy Choi,Mathematics,UC Irvine,"{'Clear grading criteria': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 2, ""Skip class? You won't pass."": 1, 'Test heavy': 1, 'Tests are tough': 1, 'Tough grader': 2, 'Would take again': 1}",3.5,0,3.2
Tom Lane,Biological Sciences,UC Irvine,{},4.2,N/,3.5
Margaret Murata,Music,UC Irvine,{},3,N/,4
Min Ouyang,Economics,UC Irvine,{},3,N/,2.5
Heidy Contreras,Biology,UC Irvine,"{'GROUP PROJECTS': 1, 'Get ready to read': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Participation matters': 1, 'Tests are tough': 1, 'Tough grader': 1}",2.1,0,4
Fabio Chee,Spanish,UC Irvine,"{'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Participation matters': 2, 'Tough Grader': 1, 'Tough grader': 1}",2.5,0,3.3
Lan Huang,Biological Sciences,UC Irvine,{},3.1,N/,3.3
Lauren Johnson,Writing,UC Irvine,"{'Caring': 2, 'GROUP PROJECTS': 1, 'Group projects': 1, 'Participation matters': 2}",4.6,100,2.5
Amy Bauer,Music,UC Irvine,"{'Caring': 2, 'LECTURE HEAVY': 1, 'Lecture heavy': 2, 'Lots of homework': 2, 'TEST HEAVY': 1, 'Test heavy': 2}",3.3,0,3.3
Jeff Matayoshi,Mathematics,UC Irvine,{},4.3,N/,2.5
Grant Shibuya,Chemistry,UC Irvine,{},4.5,N/,2.9
Brian Demsky,Engineering,UC Irvine,{},4.4,100,3
Maryse Mijalski,French,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 5, 'Gives good feedback': 5, 'Hilarious': 1, 'Inspirational': 3, 'Participation matters': 3, ""Skip class? You won't pass."": 1, 'Would take again': 1}",5,100,2.3
Waldemar Rohloff,Philosophy,UC Irvine,{},4.4,N/,1.5
Jason Willwerscheid,Writing,UC Irvine,"{'EXTRA CREDIT': 1, 'Lots of homework': 1, 'Respected': 1}",4.3,N/,2
Betty H. Olson,Environmental Science,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Beware of pop quizzes': 1, 'Group projects': 1, 'Inspirational': 2, 'Participation matters': 1, 'Respected': 1}",2.6,100,3.1
Eyal Amiran,Comparative Literature,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Participation matters': 2}",4.3,100,2.5
Jennifer Savage,Economics,UC Irvine,{},4.6,N/,2.3
Yong Soon Min,Studio Art,UC Irvine,{},1.6,N/,2.4
Athina Markopoulou,Electrical Engineering,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 3, 'GRADED BY FEW THINGS': 1, 'GROUP PROJECTS': 1, 'Get ready to read': 5, 'LOTS OF HOMEWORK': 3, 'Lots of homework': 1, 'Participation matters': 1, 'TEST HEAVY': 3, 'Test heavy': 1, 'Tests are tough': 2, 'Tough grader': 3}",2.2,24,3.4
William Puck Brecher,Asian Studies,UC Irvine,{},3.1,N/,2.4
Daniel Mumm,Materials Engineering,UC Irvine,"{'Accessible outside class': 1, 'Beware of pop quizzes': 1, 'Get ready to read': 8, 'Graded by few things': 1, 'Inspirational': 1, 'LOTS OF HOMEWORK': 5, 'Lots of homework': 7, 'Participation matters': 3, ""Skip class? You won't pass."": 2, 'So many papers': 1, 'TEST HEAVY': 3, 'Test heavy': 4, 'Tough Grader': 3, 'Tough grader': 3}",2.5,8,3.9
Nivein Behairy,Management,UC Irvine,{},4.8,N/,2.3
Yuying Tsong,Psychology,UC Irvine,"{'Caring': 1, 'Would take again': 1}",3.1,N/,3.6
Jennifer Locke,English,UC Irvine,{},4,N/,3.6
David Morris,English,UC Irvine,{},4.8,N/,4.3
Peter D. Moore,Humanities,UC Irvine,{},3.7,N/,3.1
Kelly Ramsey,Political Science,UC Irvine,{},3.5,N/,2
Sarah Manchak,Psychology,UC Irvine,{},3.7,N/,2.3
Nathan Jones,Political Science,UC Irvine,{},4,N/,2.8
Jeanne Stone,Education,UC Irvine,"{'Get ready to read': 2, 'Lots of homework': 2, 'Participation matters': 3, 'SO MANY PAPERS': 1, 'So many papers': 2}",3.5,0,2.2
William Hoffman,Environmental Studies,UC Irvine,{},4.6,N/,3
Becki Scola,Political Science,UC Irvine,{},4.9,N/,2
James Bono,Economics,UC Irvine,{},4.8,N/,2.5
Amy Alexander,Political Science,UC Irvine,{},5,N/,1.5
Michael Montoya,Anthropology,UC Irvine,"{'Amazing lectures': 1, 'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Get ready to read': 1, ""Skip class? You won't pass."": 2, 'Tests are tough': 1, 'Tough grader': 1}",3.3,100,3.6
Hamed Khalkhali,Engineering,UC Irvine,{},4.7,N/,3
Harold Dyck,Mathematics,UC Irvine,"{'Caring': 3, 'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 7, 'Inspirational': 1, 'LOTS OF HOMEWORK': 5, 'Lots of homework': 1, 'Respected': 3, 'TEST HEAVY': 2}",2.7,12,3.5
Kevin Smith,Psychology,UC Irvine,{},3,N/,1.5
Anne Bresnock,Economics,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Graded by few things': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Participation matters': 2}",2.4,0,3.4
Elaine Wong,Mathematics,UC Irvine,{},4.9,N/,2.5
Zuzanna Siwy,Physics,UC Irvine,"{'Accessible outside class': 2, 'Caring': 1, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 1, 'Graded by few things': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 2, 'Lots of homework': 4, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 1, 'Test heavy': 1, 'Tests are tough': 2, 'Tough grader': 1}",3.1,58,3.5
