name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"FREEDMAN, M.",Economics,UC Irvine,100,2.0,3.5066666666666664,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.0,5.032878,3
"EKLUND, S.",Philosophy,UC Irvine,100,1.0,3.667,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.031182,3
"TENER, A.",Academic Services,UC Irvine,100,1.3,2.52,0,5,0,0,0,0,0,0,0,3,0,5,4,0,0,0,5.0,5.029442,17
"VARELA, C.",Writing,UC Irvine,100,1.9,3.578947368421053,0,3,0,0,0,5,0,0,0,0,0,4,4,0,0,0,5.0,5.0241284,16
"HAGEDORN, J.",Psychology,UC Irvine,93,2.3,3.2281111111111107,7,0,0,0,0,0,12,5,11,0,10,4,0,0,0,0,5.0,5.0208845,49
"GOLDENBERG, B.",Education,UC Irvine,100,2.0,3.6028571428571428,0,0,5,0,0,5,0,0,0,6,0,12,3,0,0,0,5.0,5.0207915,31
"MITCHELL, N.",Music,UC Irvine,100,1.3,3.856666666666667,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5.0,5.0154085,9
"PENNER, E.",Education,UC Irvine,100,2.0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.0,5.0152154,3
"NIZKORODOV, S.",Chemistry,UC Irvine,97,3.0,3.3144444444444443,9,9,0,0,0,0,0,0,0,0,3,12,0,5,6,0,5.0,5.013202,44
"MAHONEY, M.",Writing,UC Irvine,100,2.4,3.6012500000000003,0,0,0,0,0,3,0,0,0,0,0,6,8,0,5,0,5.0,5.0090036,22
"ROSS-HO, A.",Art,UC Irvine,100,3.0,3.940625,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.0,5.0090036,3
"SCHWARTZ-MERON, A.",Korean,UC Irvine,100,3.0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0081544,0
"GOLOB, B.",Criminology Law amp Society,UC Irvine,93,3.0,3.691111111111111,5,7,0,0,0,5,0,0,0,4,0,10,3,0,0,0,5.0,5.0080175,34
"GARRISON, J.",Urban Planning,UC Irvine,100,2.3,3.7413333333333343,4,6,0,0,0,3,0,0,0,0,0,7,5,0,0,0,5.0,5.007133,25
"CHO, M.",Korean,UC Irvine,100,3.0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.004354,0
"RODGERS, K.",Computer Science,UC Irvine,100,5.0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0021496,0
"HARRIES, B.",Writing,UC Irvine,100,2.0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.0,5.001166,3
"WANG, S.",Chemical Engineering,UC Irvine,100,3.0,2.7016666666666667,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5.0,5.0009313,3
"SETYAEVA, A.",Political Science,UC Irvine,100,4.0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9986057,0
"MASSOUD, E.",Environmental Engineering,UC Irvine,100,1.0,3.3433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.99814,0
"SIMMONS, J.",Music,UC Irvine,100,1.0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.997982,0
"HOOKER, M.",Dramatic Arts,UC Irvine,100,1.0,3.8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.997982,0
"SMITH, S.",Criminal Justice,UC Irvine,,1.0,2.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9966493,0
"GE, L.",Mathematics,UC Irvine,89,3.1,3.380714285714286,10,4,0,0,0,4,3,0,7,0,0,6,4,0,0,0,5.0,4.9964533,38
"PATTERSON, J.",Chemistry,UC Irvine,98,3.4,2.69,6,6,0,0,0,5,0,3,6,0,0,8,0,0,0,0,5.0,4.996424,34
"GUZOWSKI, J.",Neurobiology & Behavior,UC Irvine,91,4.0,3.253684210526316,0,0,0,0,0,5,0,0,0,6,0,6,0,4,0,0,5.0,4.9954104,21
